participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category,corr_ans,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,response_label,response_animacy,corr_animacy,img_condition,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
66298b9925888b2e93c3d3de,2025-08-20_15h01.21.581,GLINT,2024.2.4,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_15h01.21.581,GLINT,2024.2.4,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_15h01.21.581,GLINT,2024.2.4,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_15h01.21.581,GLINT,2024.2.4,Win32,60.60606061,4,chair,leaf,duck,tree,bicycle,truck,hand,dog,flower,4,1,3.779,,0,0,0,4,1,tree,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_15h01.21.581,GLINT,2024.2.4,Win32,60.60606061,3,truck,leaf,duck,flower,dog,chair,tree,hand,bicycle,3,1,1.9225,,0,1,1,1,1,duck,anim_natural,,,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_15h01.21.581,GLINT,2024.2.4,Win32,60.60606061,1,hand,chair,bicycle,duck,flower,dog,truck,tree,leaf,1,1,2.8454,,0,2,2,0,1,hand,anim_natural,,,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_15h01.21.581,GLINT,2024.2.4,Win32,60.60606061,8,hand,truck,chair,flower,tree,bicycle,duck,dog,leaf,6,0,2.1588,,0,3,3,2,1,dog,anim_natural,,,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_15h01.21.581,GLINT,2024.2.4,Win32,60.60606061,6,truck,leaf,hand,chair,tree,flower,bicycle,duck,dog,6,1,2.1365,,0,4,4,3,1,flower,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_15h01.21.581,GLINT,2024.2.4,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,bear,anim_natural,7,corn,snail,airplane,car,apple,mushroom,bear,house,cat,9,0,3.3675,,cat,anim_natural,1,line_drawing,0,0,0,0,1
